ident;type;name;iso_country;iso_region;municipality;gps_code;iata_code;local_code;longitude;latitude
YCCT;small_airport;Coconut Island Airport;AU;AU-QLD;;YCCT;CNC;;143.07000732421875; -10.050000190734863
YCCY;medium_airport;Cloncurry Airport;AU;AU-QLD;Cloncurry;YCCY;CNJ;;140.503997803; -20.668600082399998
YDLV;small_airport;Delissaville Airport;AU;AU-NT;;YDLV;DLV;;130.68499755859375; -12.550000190734863
YFBS;medium_airport;Forbes Airport;AU;AU-NSW;Forbes;YFBS;FRB;;147.934998; -33.363602
YGLB;medium_airport;Goulburn Airport;AU;AU-NSW;;YGLB;GUL;;149.7259979248047; -34.810298919677734
YHHY;small_airport;Highbury Airport;AU;AU-QLD;;YHHY;HIG;;143.145996094; -16.4244003296
YHID;medium_airport;Horn Island Airport;AU;AU-QLD;Horn Island;YHID;HID;;142.289993286; -10.586400032
YJDA;small_airport;Jundah Airport;AU;AU-QLD;;YJDA;JUN;;143.05799865722656; -24.841699600219727
YMDS;small_airport;Macdonald Downs Airport;AU;AU-NT;;YMDS;MNW;;135.199005127; -22.444000244099996
YMOT;small_airport;Moreton Airport;AU;AU-QLD;Moreton;YMOT;MET;;142.638000488; -12.444199562099998
YNRC;small_airport;Naracoorte Airport;AU;AU-SA;;YNRC;NAC;;140.72500610351562; -36.98529815673828
YNRG;small_airport;Narrogin Airport;AU;AU-WA;Narrogin;YNRG;NRG;;117.08000183105; -32.930000305176
YNSH;small_airport;Noosa Airport;AU;AU-QLD;;YNSH;NSV;;153.06300354003906; -26.42329978942871
YOOM;small_airport;Moomba Airport;AU;AU-SA;;YOOM;MOO;;140.19700622558594; -28.09939956665039
YPDA;small_airport;Parndana Airport;AU;AU-SA;Kangaroo Island;YPDA;PDN;YPDA;137.264; -35.807
YPPH;large_airport;Perth International Airport;AU;AU-WA;Perth;YPPH;PER;;115.96700286865234; -31.94029998779297
YRMD;small_airport;Richmond Airport;AU;AU-QLD;;YRMD;RCM;;143.11500549316406; -20.701900482177734
YSII;small_airport;Saibai Island Airport;AU;AU-QLD;Saibai Island;YSII;SBR;;142.625; -9.378330230710002
YTRE;medium_airport;Taree Airport;AU;AU-NSW;Taree;YTRE;TRO;;152.514007568; -31.8885993958
YWDA;small_airport;Windarra Airport;AU;AU-WA;;YWDA;WND;;122.241996765; -28.4750003815
YWOR;small_airport;Wollogorang Airport;AU;AU-NT;;YWOR;WLL;;137.93453; -17.2199
YWTN;medium_airport;Winton Airport;AU;AU-QLD;;YWTN;WIN;;143.08599853515625; -22.36359977722168
ZBAA;large_airport;Beijing Capital International Airport;CN;CN-11;Beijing;ZBAA;PEK;;116.58499908447266; 40.080101013183594
ZGGG;large_airport;Guangzhou Baiyun International Airport;CN;CN-44;Guangzhou;ZGGG;CAN;;113.29900360107422; 23.39240074157715
ZJQH;medium_airport;Qionghai Bo'ao Airport;CN;CN-46;Qionghai;ZJQH;BAR;;110.454775; 19.13824
ZSSS;large_airport;Shanghai Hongqiao International Airport;CN;CN-31;Shanghai;ZSSS;SHA;;121.33599853515625; 31.197900772094727
ZULB;small_airport;Libo Airport;CN;CN-52;Libo County;ZULB;LLB;;107.961667; 25.4525
ZULP;small_airport;Liangping Airport;CN;CN-50;Liangping;ZULP;LIA;;107.786003; 30.679399
ZYJS;medium_airport;Jiansanjiang Airport;CN;CN-23;Jiansanjiang;ZYJS;JSJ;;132.660278; 47.11
